,id,date,rating,userName,content
22,23,2020년 2월 20일,1,Google 사용자,어제 9시 좀 넘어서 머니 충전을 하기 위해 계좌에 돈넣고 계좌로 10000원 충전하였으나 기다려달라는 멘트만 뜨고는 충전이 안되었습니다 오류인듯 하여 그뒤로 2번 더 해봤지만 계좌에서 돈만 빠져나가고 머니가 충전 안되었습니다 니콘내콘 어플 오류는 빈번했던지라 그냥 환불받고 계속 이용할 생각이었으나 상담원과 대화중(1분도 체 지나지 않아서)사라지고 지금까지 읽지 않고 있습니다 니콘내콘의 상담서비스는 익히 들어 알고 있었지만 이정도 일줄 몰랐고요 소비자를 이런식으로 기만하고 이용에 불편을 주는건 안된다고 봅니다 다시는 이용할 생각이 없습니다 환불조치 해주세요
23,24,2021년 4월 6일,5,김재환,편의점 정말 많이 가는데 그동안 손해본것 같아요 이 어플 사용하고부터 물건 살때마다 기분 좋음 모든 제품에 할인 붙어있고 어플 하나로 기프티콘 다 관리할 수 있는 점이 너무 좋았습니다 아쉬운 점을 굳이 고르자면 좀 더 많은 브랜드가 있으면 좋겠습니다 굳이 고르자면 입니다 ㅋㅋㅋ 너무 잘쓰고있어요
24,25,2021년 4월 7일,5,이미현,니콘내콘 앱 깔고 나서 부수입이 많아졌어요^^ 안쓰는 기프티콘 괜찮은 가격이 팔아서 좋아요! 다른 기프티콘 사고 파는 앱보다 금액이 괜찮아서 이제 이것만 써요~ 주로 판매하는 입장인데 기프티콘 필요할때 사보니 편하고 가격도 괜찮더라구요~ 이제 제가 매입할때도 많이 사용할거 같아요~^^
25,26,2019년 3월 29일,5,Google 사용자,니콘내콘이는 리뷰가 빠른편은 아니지만 판매시 매입가격을 높게 쳐주는 편이라 너무 좋아요 기프티xx랑 기xx원에 비해 매입시 가격이 높고 구매시에는 저렴해서 애용하고 있어요♡ 다른데는 오늘 받아서 바로 판매했는데 가격 20원씩 깎는데 니콘이는 제 값 쳐줘서 좋아요^^ 점점 더 번창하길 바래요!
26,27,2021년 4월 7일,5,최성희,기프티콘을 사고 팔수있어서 유용하게 이용중입니다 한번 판매 신청한 기프티콘이 사용이 안된다고 연락와서 돈 환불해드리고 제가 몇일있다가 가서 사용했더니 잘되서 황당하긴했네요 그일빼고는 문제없이 니콘을 잘 사용중입니다 근데 좀 아쉬운건 판매한 금액은 정산입금만되는데 기능을 좀변경해주셔서 내 니콘머니로도 전환이 되면좋겠어요 정산입금도 기달려야하고 그사이 구매하려면 또 충전이나 카드결제를해야하니 좀 귀찮아서 포기하게되기도 하더라구요 검토좀해주세요
27,28,2022년 8월 6일,5,soo,할인율도 높고 구매/판매할 때 편리합니다! 문의했을 때 답변도 빠르게 받을 수 있고 전반적으로 체계적인 점이 좋네요
28,29,2022년 7월 14일,5,지인,앱 디자인하고 전체적으로 낄끔해서 좋아용!! 문의도 엄청 빨리 확인이 되고 환불처리도 너무 빠름니다. 불편한 점 하나 없이 사용 가능해서 별점 남기고 싶었어용...ㅎㅎ
29,30,2022년 7월 21일,4,Jooyeon Song,업데이트 이후로 갤럭시 핸드폰에서 뒤로 가기 버튼으로는 뒤로 가는게 안되고 앱 화면 내에서만 뒤로가기 버튼을 눌러야 해결이 됩니다ㅠ
30,31,2022년 8월 11일,3,바카마,니콘머니를 해피머니상품권로 충전하려 하는데 로그인이 계속 실패됩니다. 해피머니 홈페이지에서 로그인 했을 때는 이상 없는데 여기에서만 자꾸 실패하네요. 어떻게 하면 해결될까요?
31,32,2022년 6월 10일,4,권andy,사용은 간단하나 가격도 좋으나 구매당시에 선물하기 기능이 있으면 좋겠습니다. 받는 분에게 캡처해서 보내기 이상해요
32,33,2022년 8월 10일,5,유아네루아,너무 잘 사용중입니다! 그런데 콘 보관함에 정렬을 기한순으로 해주시면 안될까요 ㅠㅠㅠㅠㅠ 매번 찾느라 오래걸려서....
33,34,2022년 8월 9일,5,pooh cafe,요즘 영화값 비싼데 싸게 잘 썼습니다 ^^ 처음엔 버벅 거렸는데 다음에는 잘 쓸수 있을것 같아요~~
34,35,2022년 6월 27일,1,아로하,괜히 업뎃했다가 진짜 별로네요 이전 버전 못돌아가나요? 기프티콘 판매에나 집중해야지 뭔 이상한 기능들 추가해가지고 복잡하게만 만들어서 진짜 별로네요
35,36,2022년 8월 1일,1,김현수,다른 기프티콘앱은 되는 기능인데 온라인 결제 및 배달이 되는 기프티콘인지 표시해주셨으면 좋겠네요
36,37,2022년 3월 5일,2,JoongSun Yean,"1. 수요일부터 화요일 캐쉬백에서 두가지 브랜드를 고를 수 있는데, 한가지 브랜드만 선택 후, 차후에 하나 더 선택하려고 하면 브랜드선택을 할 수 있는 부분이 따로 없는 것 같습니다. 현재 토스에서는 매주 3가지 브랜드를 선택 할 수 있는데, 한두개 골라두었다가 추후에 선택을 할수 있더군요. 2. 니콘내콘 포인트를 충전하는 간편결제수단과 브랜드 캐쉬백 카드는 따로 분리되어있어 동일카드를 이중으로 등록해야하는 어려움이 있습니다. 3. 땡철이라고 하지만 막상 들어가보면, ex) 스타벅스 tall사이즈음료(4580원)은 평소 구매 할 수 있는 금액과 동일하거나 거의 비슷합니다. 평소판매가와 동일한데 땡철이라는 표현을 쓰면 소비자입장에서 띠용? 할 수 있습니다. 4. 제가 좋아하는 BHC의 경우 쿠폰이 너무 제한적인 것 같습니다. 몇몇 브랜드도 1~2개의 메뉴만 있는 경우가 있는데, 이경우 특정 상품 쿠폰으로 다른 상품을 이용할 수 있는지도 의문이고, 뭔가 휑한느""신입인턴ㅎㅅㅇ친구"""
37,38,2022년 7월 30일,1,jw l,판매하려고하면 잘팔리는 쿠폰만 받고 잘안팔리는쿠폰은 몇번을들어가서 매입하는지 확인해야하고 판매승인나서 입금까지 받았는데 매입할때 꼼꼼하게검수안해놓고 이주뒤에 환불요청와서는 ai핑계대는 개빡치게 만드는 아주 몹쓸어플
38,39,2022년 7월 23일,1,최민지,가끔...이번에도 그렇고...매장 판매가격보다 비싸게 파는걸 확인도 안하는건 뭔가요..할인해서 26900에샀더니 매장 코드찍으니 24000원돈입디다...벌써 2번째 이런데 짜증나네요
39,40,2022년 6월 10일,1,전류,오늘 출금신청을 새벽에 하고 나서 오후 6시가다되어도 미출금 되더니 오후 7시가 되어도 출금 들어오지도 않았는데 어플에서는 출금됫다고 알림뜨고 1:1 상담은 같은말만 반복 하다가 6시이후로 채팅닫아버리구요 ^^;; 지금껏 몇번 출금하긴햇는데 이런경우도 슬 일어나는거보니 이상하고 찝찝하네요
40,41,2022년 7월 11일,5,김강산,"기프티콘 매입이 빠르고, ui가 편하며, 구입 결제또한 빨라서 좋아요. 덕분에 스타벅스 기프티콘 잘팝니다."
